feature,altitude_anomaly,external_position_anomaly,global_position_anomaly,mechanical_fault,normal
raw_gps_epv_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
hdop,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
hdop_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
vdop,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
vdop_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
satellites_used,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
satellites_used_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
s_variance_m_s,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
s_variance_m_s_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
jamming_indicator,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
jamming_indicator_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
noise_per_ms,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
noise_per_ms_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
battery_power_w,0.782314872235208,0.8018146931607532,0.7907741172994533,0.7728802562750903,0.7682475755812727
voltage_delta,0.5867639809823657,0.6076620377898468,0.5909661693012261,0.5801062406228458,0.5771970493987563
remaining_delta,0.5867639809823657,0.6076620377898468,0.5909661693012261,0.5801062406228458,0.575400402135478
jamming_1s_mean,0.0,0.34381605905883117,0.9868887575712808,0.0,0.08804174491829174
jamming_5s_max,0.0,0.34381605905883117,0.99981533461368,0.0,0.08810203509491181
noise_5s_mean,0.0,0.34381605905883117,0.99981533461368,0.0,0.08810203509491181
noise_5s_std,0.0,0.34319815278545646,0.9989658738366081,0.0,0.08795733867102364
hdop_5s_max,0.0,0.34381605905883117,0.99981533461368,0.0,0.08810203509491181
sats_5s_min,0.0,0.34381605905883117,0.99981533461368,0.0,0.08810203509491181
gps_step_5s_max,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
gps_step_5s_rms,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
gps_speed_residual_cusum_pos,1.0,1.0,1.0,1.0,1.0
hdop_cusum_pos,1.0,1.0,1.0,1.0,1.0
noise_per_ms_cusum_pos,1.0,1.0,1.0,1.0,1.0
vel_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
pos_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
hgt_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
mag_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
tas_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
hagl_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
beta_test_ratio,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
ekf_vel_innov_mag,0.9989346308575426,0.9999674786171908,0.9990766730684001,0.9981144316937675,0.9953666999267474
ekf_pos_innov_mag,0.9989346308575426,0.9999674786171908,0.9990766730684001,0.9981144316937675,0.9953666999267474
heading_innov,0.9989346308575426,0.9999674786171908,0.9990766730684001,0.9981144316937675,0.9953666999267474
ekf_alt_innov,0.9989346308575426,0.9999674786171908,0.9990766730684001,0.9981144316937675,0.9953666999267474
ekf_vertical_vel_innov,0.9989346308575426,0.9999674786171908,0.9990766730684001,0.9981144316937675,0.9953666999267474
pos_test_ratio_5s_mean,1.0,1.0,1.0,1.0,1.0
pos_test_ratio_5s_max,1.0,1.0,1.0,1.0,1.0
pos_test_ratio_cusum_pos,1.0,1.0,1.0,1.0,1.0
vel_test_ratio_5s_mean,1.0,1.0,1.0,1.0,1.0
vel_test_ratio_5s_max,1.0,1.0,1.0,1.0,1.0
vel_test_ratio_cusum_pos,1.0,1.0,1.0,1.0,1.0
hgt_test_ratio_5s_mean,1.0,1.0,1.0,1.0,1.0
hgt_test_ratio_5s_max,1.0,1.0,1.0,1.0,1.0
hgt_test_ratio_cusum_pos,1.0,1.0,1.0,1.0,1.0
ekf_alt_innov_5s_mean,1.0,1.0,1.0,1.0,1.0
ekf_alt_innov_5s_max,1.0,1.0,1.0,1.0,1.0
ekf_alt_innov_cusum_pos,1.0,1.0,1.0,1.0,1.0
ekf_vertical_vel_innov_5s_mean,1.0,1.0,1.0,1.0,1.0
ekf_vertical_vel_innov_5s_max,1.0,1.0,1.0,1.0,1.0
ekf_vertical_vel_innov_cusum_pos,1.0,1.0,1.0,1.0,1.0
actuator_output_std,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991667897591106
actuator_output_range,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991667897591106
actuator_active_channels,1.0,1.0,1.0,1.0,1.0
actuator_output_std_5s_mean,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991670912099937
actuator_output_std_5s_max,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991670912099937
actuator_output_std_cusum_pos,1.0,1.0,1.0,1.0,1.0
actuator_output_range_5s_mean,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991670912099937
actuator_output_range_5s_max,0.9934646758574631,0.9831864450876451,0.9959373615009602,0.996492437451847,0.991670912099937
actuator_output_range_cusum_pos,1.0,1.0,1.0,1.0,1.0
innovation_check_flags_active,1.0,1.0,1.0,1.0,1.0
innovation_check_flags_bit_count,1.0,1.0,1.0,1.0,1.0
gps_check_fail_flags_active,1.0,1.0,1.0,1.0,1.0
gps_check_fail_flags_bit_count,1.0,1.0,1.0,1.0,1.0
filter_fault_flags_active,1.0,1.0,1.0,1.0,1.0
filter_fault_flags_bit_count,1.0,1.0,1.0,1.0,1.0
timeout_flags_active,1.0,1.0,1.0,1.0,1.0
timeout_flags_bit_count,1.0,1.0,1.0,1.0,1.0
pre_flt_fail,0.8936697991699661,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9910891118955533
pos_horiz_accuracy,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
pos_vert_accuracy,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
vibe_0,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
vibe_1,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
vibe_2,0.9985053029941643,0.9999349572343816,0.9989658738366081,0.9980536069096955,0.9944834488392634
local_xy_reset_counter_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9989690379797967
local_z_reset_counter_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9989690379797967
local_vxy_reset_counter_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9989690379797967
local_vz_reset_counter_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9989690379797967
local_xy_valid,1.0,1.0,1.0,1.0,0.999972869420521
local_z_valid,1.0,1.0,1.0,1.0,0.999972869420521
local_v_xy_valid,1.0,1.0,1.0,1.0,0.999972869420521
local_v_z_valid,1.0,1.0,1.0,1.0,0.999972869420521
alt_baro_residual_5s_max,0.00830033869198111,0.25509772675534165,0.01643521938247895,0.0863711933822635,0.0644471842980264
alt_baro_residual_5s_rms,0.00830033869198111,0.25509772675534165,0.01643521938247895,0.0863711933822635,0.0644471842980264
alt_baro_residual_cusum_pos,1.0,1.0,1.0,1.0,1.0
alt_local_residual_5s_max,1.0,1.0,1.0,1.0,1.0
alt_local_residual_5s_rms,1.0,1.0,1.0,1.0,1.0
alt_local_residual_cusum_pos,1.0,1.0,1.0,1.0,1.0
attitude_error_mag_5s_max,0.9999681979360461,1.0,1.0,1.0,0.999981912947014
attitude_error_mag_5s_rms,0.9999681979360461,1.0,1.0,1.0,0.999981912947014
attitude_error_mag_cusum_pos,1.0,1.0,1.0,1.0,1.0
gps_frozen_count,1.0,1.0,1.0,1.0,1.0
attitude_missing,1.0,1.0,1.0,1.0,1.0
battery_missing,1.0,1.0,1.0,1.0,1.0
gps_health_missing,1.0,1.0,1.0,1.0,1.0
num_missing_groups,1.0,1.0,1.0,1.0,1.0
attitude_stale_count,1.0,1.0,1.0,1.0,1.0
attitude_stale_s,1.0,1.0,1.0,1.0,1.0
is_moving,1.0,1.0,1.0,1.0,1.0
