domain,feature,normal_median,fault_active_median,normal_iqr,robust_median_shift,normal_rows,fault_active_rows
HIL,local_x,1.6254585981369019,25.598459243774414,44.17843405622989,0.5426403627070604,13838,65595
HIL,local_y,0.6336316466331482,0.7664303183555603,1.5560922175645828,0.0853411322435976,13838,65595
HIL,local_z,-15.035568237304688,-15.024120330810547,0.4778766632080078,0.023955776407431798,13838,65595
HIL,local_vx,0.008123992942273617,0.002179330913349986,1.4902704858686775,-0.003988981767043349,13838,65595
HIL,local_vy,0.0014491525944322348,-0.06031789258122444,0.19315544236451387,-0.31977895446468163,13838,65595
HIL,local_vz,-0.007290713954716921,0.0007065778481774032,0.4334962307475507,0.018448354395473168,13838,65595
HIL,local_ax,0.0014867282006889582,0.008541828952729702,0.09006390441209078,0.07833438968613339,13838,65595
HIL,local_ay,-0.00386865995824337,-0.006021703593432903,0.08694297075271606,-0.024763860914222016,13838,65595
HIL,local_az,0.012669946998357773,0.008254523389041424,0.14591964054852724,-0.030259282388020614,13838,65595
HIL,roll_deg,-1.403389811515808,-0.4348786473274231,0.6657207012176514,1.454831076180909,13841,65626
HIL,pitch_deg,0.03064402937889099,-12.354955673217773,11.67868760228157,-1.0605301307663355,13841,65626
HIL,yaw_deg,-2.4696106910705566,-2.5670480728149414,0.9217591285705566,-0.10570807353488158,13841,65626
HIL,act_roll,9.988514648284763e-06,5.6417738960590214e-05,0.0010746708721853793,0.04320320343091654,13841,65626
HIL,act_pitch,-0.0026065483689308167,-0.05120643600821495,0.05148897076674075,-0.9438892818319294,13841,65626
HIL,act_yaw,2.39682321989676e-05,2.174030669266358e-05,0.0007315862167160958,-0.0030453355399512696,13841,65626
HIL,act_thrust,0.2650591731071472,0.3185468912124634,0.014746904373168945,3.6270471925371446,13841,65626
HIL,output_mean,1321.5,1339.3333740234375,4.916748046875,3.6270668851482197,13841,65626
HIL,output_std,225.68258666992188,227.05751037597656,2.68975830078125,0.5111699834350677,13841,65626
HIL,vel_test_ratio,0.031063811853528023,0.03322231024503708,0.027735191397368908,0.07782525674994338,13832,65562
HIL,pos_test_ratio,0.018001481890678406,0.018344596028327942,0.01140349986962974,0.030088494021325112,13832,65562
HIL,hgt_test_ratio,0.0024261786602437496,0.0019619688391685486,0.0035334181739017367,-0.13137698348412655,13832,65562
HIL,mag_test_ratio,0.005697258748114109,0.010196475312113762,0.008983490348327905,0.5008316800648749,13832,65562
SIL,local_x,0.043962642550468445,17.175207138061523,37.318385985679924,0.4590564196961131,17291,72591
SIL,local_y,0.017550522461533546,0.1374717354774475,0.18114077858626842,0.6620332308080842,17291,72591
SIL,local_z,-15.01780891418457,-15.028738975524902,7.6244425773620605,-0.0014335554670953615,17291,72591
SIL,local_vx,0.002622942440211773,0.0016680939588695765,0.9191478213761002,-0.001038841042904989,17291,72591
SIL,local_vy,0.0009837260004132986,0.00020203586609568447,0.01613418268971145,-0.048449316262184884,17291,72591
SIL,local_vz,-0.00392668042331934,-0.0024185199290513992,0.08441777527332306,0.01786543757383921,17291,72591
SIL,local_ax,0.0012351998593658209,0.001307669561356306,0.07337998412549496,0.000987594953230666,17291,72591
SIL,local_ay,-2.4620019758003764e-05,-0.0008947066962718964,0.06629631854593754,-0.013124207787497193,17291,72591
SIL,local_az,0.004932283889502287,0.004883855115622282,0.12116039916872978,-0.00039970794263034944,17291,72591
SIL,roll_deg,-0.013590117916464806,0.03320915997028351,0.158546956256032,0.2951761475245159,16552,72591
SIL,pitch_deg,-0.08910955488681793,-11.240340232849121,10.07666313496884,-1.1066392378817214,16552,72591
SIL,yaw_deg,-0.159132719039917,-0.09972329437732697,0.38703060895204544,0.15350058442005832,16552,72591
SIL,act_roll,-1.6927178876358084e-05,3.0014187359483913e-05,0.0007178859232226387,0.06538833385411658,17291,72591
SIL,act_pitch,-0.00047364685451611876,-0.045366909354925156,0.04112809633807046,-1.0915472643371973,17291,72591
SIL,act_yaw,3.3706732210703194e-05,3.691823803819716e-05,0.0006785447039874271,0.0047329318298731755,17291,72591
SIL,act_thrust,0.2645307183265686,0.2757437825202942,0.01485300064086914,0.7549359530000963,17291,72591
SIL,output_mean,1342.6666259765625,1350.1666259765625,9.8333740234375,0.7627087083359195,17291,72591
SIL,output_std,121.50952911376953,121.1122055053711,20.480186462402344,-0.019400390183353395,17291,72591
SIL,output_range,237.0,240.0,57.0,0.05263157894736842,17291,72591
SIL,battery_remaining,0.5041422843933105,0.5000104904174805,0.3559976816177368,-0.011606238436874755,17024,71535
SIL,vel_test_ratio,0.028326118364930153,0.031069200485944748,0.01997094228863716,0.13735366520864278,15515,72591
SIL,pos_test_ratio,0.017187321558594704,0.017626848071813583,0.0102569623850286,0.042851528232220784,15515,72591
SIL,hgt_test_ratio,0.0019396208226680756,0.0019878444727510214,0.0027852914936374873,0.01731368159961151,17291,72591
SIL,mag_test_ratio,0.004041190724819899,0.005523069761693478,0.005559396813623607,0.26655392420309937,17291,72591
