case_id,domain,fault_family,fault_subtype,evaluation_role,detected,alarm_events
HIL-Sensors/acce-acce/TestCase_102_2402000101,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_103_2402000102,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_104_2402000103,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_105_2402000104,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_106_2402000105,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_107_2402000106,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_108_2402000107,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_109_2402000108,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_110_2402000109,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_111_2402000110,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_135_2202000134,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_136_2202000135,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_97_2402000096,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_98_2402000097,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_99_2402000098,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_100_2404000099,HIL,Sensor,Accelerometer,fault_detection,True,1
HIL-Sensors/acce-baro/TestCase_101_2404000100,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_102_2404000101,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_103_2404000102,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_104_2404000103,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_105_2404000104,HIL,Sensor,Accelerometer,fault_detection,True,1
HIL-Sensors/acce-baro/TestCase_106_2404000105,HIL,Sensor,Accelerometer,fault_detection,True,1
HIL-Sensors/acce-baro/TestCase_107_2404000106,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_108_2404000107,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_109_2404000108,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_110_2404000109,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_111_2404000110,HIL,Sensor,Accelerometer,fault_detection,True,1
HIL-Sensors/acce-baro/TestCase_135_2404000134,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_136_2404000135,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_97_2404000096,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_98_2404000097,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-baro/TestCase_99_2404000098,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_100_2403000099,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_101_2403000100,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_102_2403000101,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_103_2403000102,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_104_2403000103,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_105_2403000104,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_106_2403000105,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_107_2403000106,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_108_2403000107,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_109_2403000108,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_110_2403000109,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_111_2403000110,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_135_2403000134,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_136_2403000135,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_97_2403000096,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_98_2403000097,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-gyro/TestCase_99_2403000098,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_100_2405000099,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_101_2405000100,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_102_2405000101,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_103_2405000102,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_104_2405000103,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_105_2405000104,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_106_2405000105,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_107_2405000106,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_108_2405000107,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_109_2405000108,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_110_2405000109,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_111_2405000110,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_135_2405000134,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_136_2405000135,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_97_2405000096,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_98_2405000097,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-mag/TestCase_99_2405000098,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_131_2306000130,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_132_2306000131,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_55_2306000054,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_56_2306000055,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_57_2306000056,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_58_2306000057,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_59_2306000058,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_60_2306000059,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_61_2306000060,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_62_2306000061,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_63_2306000062,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_64_2306000063,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_65_2306000064,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_66_2306000065,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_67_2306000066,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_68_2306000067,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_69_2306000068,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_70_2306000069,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_71_2306000070,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_72_2306000071,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_73_2306000072,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_74_2306000073,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_75_2306000074,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_76_2306000075,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_77_2306000076,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_78_2306000077,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_79_2306000078,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_80_2306000079,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-GPS/TestCase_81_2306000080,HIL,Sensor,GPS,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_131_2302000130,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_132_2302000131,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_55_2302000054,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_56_2302000055,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_57_2302000056,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_58_2302000057,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_59_2302000058,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_60_2302000059,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_61_2302000060,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_62_2302000061,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_63_2302000062,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_64_2302000063,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_65_2302000064,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_66_2302000065,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_67_2302000066,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_68_2302000067,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_69_2302000068,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_70_2302000069,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_71_2302000070,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_72_2302000071,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_73_2302000072,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_74_2302000073,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_75_2302000074,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_76_2302000075,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_77_2302000076,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_78_2302000077,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_79_2302000078,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_80_2302000079,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-acce/TestCase_81_2302000080,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_131_2304000130,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_132_2304000131,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_55_2304000054,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_56_2304000055,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_57_2304000056,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_58_2304000057,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_59_2304000058,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_60_2304000059,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_61_2304000060,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_62_2304000061,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_63_2304000062,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_64_2304000063,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_65_2304000064,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_66_2304000065,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_67_2304000066,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_68_2304000067,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_69_2304000068,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_70_2304000069,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_71_2304000070,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_72_2304000071,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_73_2304000072,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_74_2304000073,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_75_2304000074,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_76_2304000075,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_77_2304000076,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_78_2304000077,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_79_2304000078,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_80_2304000079,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-baro/TestCase_81_2304000080,HIL,Sensor,Barometer,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_131_2303000130,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_132_2303000131,HIL,Sensor,Gyroscope,fault_detection,True,1
HIL-Sensors/circling-gyro/TestCase_55_2303000054,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_56_2303000055,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_57_2303000056,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_58_2303000057,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_59_2303000058,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_60_2303000059,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_61_2303000060,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_62_2303000061,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_63_2303000062,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_64_2303000063,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_65_2303000064,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_66_2303000065,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_67_2303000066,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_68_2303000067,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_69_2303000068,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_70_2303000069,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_71_2303000070,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_72_2303000071,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_73_2303000072,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_74_2303000073,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_75_2303000074,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_76_2303000075,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_77_2303000076,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_78_2303000077,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_79_2303000078,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_80_2303000079,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-gyro/TestCase_81_2303000080,HIL,Sensor,Gyroscope,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_131_2305000130,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_132_2305000131,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_55_2305000054,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_56_2305000055,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_57_2305000056,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_58_2305000057,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_59_2305000058,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_60_2305000059,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_61_2305000060,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_62_2305000061,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_63_2305000062,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_64_2305000063,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_65_2305000064,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_66_2305000065,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_67_2305000066,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_68_2305000067,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_69_2305000068,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_70_2305000069,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_71_2305000070,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_72_2305000071,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_73_2305000072,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_74_2305000073,HIL,Sensor,Unknown,fault_detection,False,0
HIL-Sensors/circling-mag/TestCase_75_2305000074,HIL,Sensor,Unknown,fault_detection,False,0
